
央视咪咕,#genre#
CCTV兵器科技,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw4177294087_892533870/PLTV/88888888/224/3221231573/index.m3u8?icpid=88888888&RTS=1662478643&from=12&hms_devid=2944&online=1662478643
CETV1,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw3666791467_1483773844/PLTV/88888888/224/3221231714/index.m3u8?icpid=88888888&RTS=1662478132&from=12&hms_devid=2904&online=1662478132
CETV1,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw3799680880_818312714/PLTV/88888888/224/3221231552/index.m3u8?icpid=88888888&RTS=1662478265&from=12&hms_devid=2864&online=1662478265
CETV2,http://hms2924nc1972666636.live.aikan.miguvideo.com/wh7f454c46tw3717162572_-1717649863/PLTV/88888888/224/3221231607/index.m3u8?icpid=88888888&RTS=1662478183&from=12&hms_devid=2924&online=1662478183
CETV3,http://hms2864nc1972666629.live.aikan.miguvideo.com/wh7f454c46tw3835084793_1353096455/PLTV/88888888/224/3221231543/index.m3u8?icpid=88888888&RTS=1662478301&from=12&hms_devid=2864&online=1662478301
CETV4,http://hms2924nc1972666635.live.aikan.miguvideo.com/wh7f454c46tw3740978614_-1538741880/PLTV/88888888/224/3221231613/index.m3u8?icpid=88888888&RTS=1662478207&from=12&hms_devid=2924&online=1662478207
CGTV,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw3886482940_253157293/PLTV/88888888/224/3221231592/index.m3u8?icpid=88888888&RTS=1662478352&from=12&hms_devid=2864&online=1662478352
CGTN法语,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw3931814195_453436414/PLTV/88888888/224/3221231550/index.m3u8?icpid=88888888&RTS=1662478397&from=12&hms_devid=2944&online=1662478397
CGTN西班牙语,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw3915851164_-651320949/PLTV/88888888/224/3221231546/index.m3u8?icpid=88888888&RTS=1662478381&from=12&hms_devid=2904&online=1662478381
CGTNFRA,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw3931814195_453436414/PLTV/88888888/224/3221231550/index.m3u8?icpid=88888888&RTS=1662478397&from=12&hms_devid=2944&online=1662478397
CGTN俄罗斯语,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw3969849879_659305584/PLTV/88888888/224/3221231591/index.m3u8?icpid=88888888&RTS=1662478435&from=12&hms_devid=2904&online=1662478435
CGTN纪录,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw4007536928_1051754510/PLTV/88888888/224/3221231492/index.m3u8?icpid=88888888&RTS=1662478473&from=12&hms_devid=2844&online=1662478473
广东卫视,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1533137214_390441546/PLTV/88888888/224/3221231502/index.m3u8?icpid=88888888&RTS=1662527538&from=12&hms_devid=2944&online=1662527538
江苏卫视,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1001691544_-1295490770/PLTV/88888888/224/3221231447/index.m3u8?icpid=88888888&RTS=1662527007&from=12&hms_devid=2944&online=1662527007
